account_id,txn_count_7d,volume_7d,txn_count_30d,volume_30d,total_count_180d,total_volume_180d,unique_counterparties_30d,last_active_ts,avg_monthly_count,avg_monthly_volume,dormancy_days
ACC_00000,1,5189.64,8,197241.93,39,1091052.54,8,2026-06-27T23:47:01,6.5,181842.09,1
ACC_00001,3,355173.9,17,1455228.52,47,4832197.57,17,2026-06-27T10:26:23,7.83,805366.26,1
ACC_00002,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,973
ACC_00003,3,48853.149999999994,14,575166.78,38,2983065.29,14,2026-06-23T07:54:39,6.33,497177.55,5
ACC_00004,3,67612.23,9,416257.79,45,2602159.92,9,2026-06-28T12:49:51,7.5,433693.32,0
ACC_00005,2,685193.2999999999,10,1009322.2999999999,39,3487673.27,10,2026-06-27T10:40:22,6.5,581278.88,1
ACC_00006,4,1705132.13,13,2011926.88,33,2650552.63,13,2026-06-08T21:35:19,5.5,441758.77,1
ACC_00007,2,31035.3,8,133335.3,37,1338730.43,8,2026-05-31T00:43:44,6.17,223121.74,2
ACC_00008,4,105402.87,14,327881.61,55,3102029.66,14,2026-06-26T23:41:00,9.17,517004.94,2
ACC_00009,4,30111.34,12,927307.74,37,2451163.77,12,2026-06-28T12:59:08,6.17,408527.3,0
ACC_00010,4,154919.09,12,780514.1,47,2553348.83,12,2026-06-28T09:54:42,7.83,425558.14,0
ACC_00011,5,38954.8,7,56294.03,49,3706726.56,7,2026-06-27T11:03:13,8.17,617787.76,1
ACC_00012,5,46522.98,8,131707.77,25,2618495.77,8,2026-06-08T21:35:19,4.17,436415.96,1
ACC_00013,2,35351.06,9,588148.0700000001,46,1694005.95,9,2026-06-28T23:50:29,7.67,282334.32,0
ACC_00014,1,44670.88,15,1348329.52,42,1850809.57,15,2026-06-25T23:32:41,7.0,308468.26,3
ACC_00015,2,41632.97,10,876041.6900000001,48,2643127.5,10,2026-06-25T22:15:15,8.0,440521.25,3
ACC_00016,2,3573410.49,16,4929415.8,40,7527399.64,16,2026-06-28T03:43:20,6.67,1254566.61,0
ACC_00017,3,59974.350000000006,11,189241.83000000002,40,2979336.48,11,2026-06-28T18:13:30,6.67,496556.08,0
ACC_00018,2,23984.6,12,2813049.36,41,4373966.19,12,2026-06-27T04:28:40,6.83,728994.37,1
ACC_00019,5,168179.34,17,690667.28,40,2990793.6100000003,17,2026-06-28T00:16:33,6.67,498465.6,1
ACC_00020,1,4608.47,11,113762.26000000001,45,1610553.94,11,2026-06-22T23:04:25,7.5,268425.66,2
ACC_00021,2,62827.39000000001,10,318522.02999999997,47,1850322.87,10,2026-06-25T03:03:37,7.83,308387.14,3
ACC_00022,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,430
ACC_00023,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,957
ACC_00024,5,1616816.01,14,1855488.2400000002,51,3947669.22,14,2026-06-28T20:51:05,8.5,657944.87,0
ACC_00025,0,0.0,6,65506.06,24,1112727.58,6,2026-05-28T04:02:43,4.0,185454.6,10
ACC_00026,3,37148.94,11,489287.27999999997,26,725569.44,11,2026-05-04T06:36:12,4.33,120928.24,3
ACC_00027,2,10807.58,10,226260.79,44,2480278.3899999997,10,2026-06-24T18:03:21,7.33,413379.73,4
ACC_00028,7,83938.01,12,286361.34,44,1240554.49,12,2026-06-29T01:43:15,7.33,206759.08,0
ACC_00029,1,24148.5,10,269451.44,45,4074590.36,10,2026-06-26T13:45:55,7.5,679098.39,2
ACC_00030,1,1489295.28,9,1843495.82,40,3527462.6,9,2026-06-28T03:43:02,6.67,587910.43,0
ACC_00031,4,27360.95,8,190388.77,29,2660714.4,8,2026-05-28T20:34:11,4.83,443452.4,1
ACC_00032,3,17507.59,8,378557.70999999996,29,1512910.1,8,2026-06-28T09:08:58,4.83,252151.68,0
ACC_00033,7,156649.27000000002,12,176301.8,50,2746695.17,12,2026-06-28T17:00:43,8.33,457782.53,0
ACC_00034,3,66698.92,11,194617.25,40,1383240.6099999999,11,2026-06-14T23:27:04,6.67,230540.1,1
ACC_00035,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,1521
ACC_00036,0,0.0,11,749786.43,34,1622937.1,11,2026-05-19T20:40:04,5.67,270489.52,11
ACC_00037,1,48049.44,14,406221.57,47,5965028.49,14,2026-06-24T15:50:16,7.83,994171.42,4
ACC_00038,5,58486.21,14,274299.3,47,1204469.88,14,2026-06-28T03:55:43,7.83,200744.98,0
ACC_00039,6,143937.66,16,1216023.75,50,4939738.5,16,2026-06-28T20:22:26,8.33,823289.75,0
ACC_00040,1,20962.8,8,1811265.03,49,6875526.06,8,2026-06-25T04:56:34,8.17,1145921.01,3
ACC_00041,4,248245.69,15,1808685.63,51,3767651.3000000003,15,2026-06-27T23:14:55,8.5,627941.88,1
ACC_00042,4,18314.699999999997,15,355506.73,51,1649283.16,15,2026-06-22T14:46:56,8.5,274880.53,2
ACC_00043,3,22942.71,13,157337.72,38,1571502.74,13,2026-06-11T20:39:36,6.33,261917.12,0
ACC_00044,1,93340.37,15,1033707.53,50,3040585.36,15,2026-06-28T09:29:29,8.33,506764.23,0
ACC_00045,2,10851.039999999999,12,207978.93,40,2267660.54,12,2026-06-25T22:30:17,6.67,377943.42,3
ACC_00046,3,96386.62,7,255511.73,42,1108251.41,7,2026-06-28T15:27:30,7.0,184708.57,0
ACC_00047,4,152104.53,11,306419.01,35,2682225.52,11,2026-05-21T13:37:10,5.83,447037.59,1
ACC_00048,9,208757.16,31,1082499.3800000001,38,1516687.44,31,2026-06-28T21:42:21,6.33,252781.24,0
ACC_00049,1,58751.43,9,395458.18,53,3184479.5300000003,9,2026-06-26T02:14:15,8.83,530746.59,3
ACC_00050,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,1611
ACC_00051,3,1593384.6099999999,16,2096288.3499999999,49,2919248.32,16,2026-06-25T20:55:48,8.17,486541.39,3
ACC_00052,1,100000.0,12,460117.11000000004,45,2632302.06,12,2026-06-27T18:06:14,7.5,438717.01,1
ACC_00053,2,70363.76000000001,10,1338531.35,49,2820088.87,10,2026-06-16T04:06:50,8.17,470014.81,0
ACC_00054,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,1580
ACC_00055,2,16145.45,15,307219.64,53,3617124.36,15,2026-06-27T07:23:42,8.83,602854.06,1
ACC_00056,2,35487.04,12,638094.32,33,1471321.04,12,2026-06-25T14:12:28,5.5,245220.17,2
ACC_00057,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,635
ACC_00058,3,43135.1,6,81491.43,33,3036544.25,6,2026-06-20T08:00:03,5.5,506090.71,0
ACC_00059,7,214980.57,13,231215.94,37,2238751.12,13,2026-06-28T19:31:23,6.17,373125.19,0
ACC_00060,4,179934.87,12,414021.64,37,1216222.33,12,2026-06-09T09:45:56,6.17,202703.72,0
ACC_00061,4,2207397.65,13,2453757.7,44,5130809.78,13,2026-06-28T18:01:05,7.33,855134.96,0
ACC_00062,6,35056.79,12,251777.34,45,1471613.93,12,2026-06-28T05:20:53,7.5,245268.99,0
ACC_00063,2,156239.63,10,303603.74,43,1322484.5,10,2026-06-27T08:33:28,7.17,220414.08,1
ACC_00064,1,12310.27,11,946023.5,39,2346154.2600000002,11,2026-06-28T22:03:50,6.5,391025.71,0
ACC_00065,1,11142.82,6,204415.73,40,2508952.87,6,2026-06-16T18:58:44,6.67,418158.81,6
ACC_00066,3,113518.52,9,249918.47999999998,41,2487341.9,9,2026-06-27T11:49:48,6.83,414556.98,1
ACC_00067,3,1727.65,14,90786.74,40,2149919.33,14,2026-06-27T13:51:53,6.67,358319.89,1
ACC_00068,4,53247.56,17,805471.94,49,2757342.8,17,2026-06-26T07:02:28,8.17,459557.13,1
ACC_00069,0,0.0,7,93557.91,50,3138145.79,7,2026-06-22T02:20:12,8.33,523024.3,7
ACC_00070,3,1246904.67,10,1708104.9,35,1999014.8699999999,10,2026-06-27T07:07:07,5.83,333169.14,1
ACC_00071,1,1890.59,10,1205132.56,51,2966629.45,10,2026-06-28T12:38:33,8.5,494438.24,0
ACC_00072,6,147356.14,14,1220872.44,42,2200641.64,14,2026-06-06T01:23:01,7.0,366773.61,0
