entity_id,entity_type,declared_annual_income,kyc_status,age,geography_tier
ENT_00000,INDIVIDUAL,0,VERIFIED,35.0,metro
ENT_00001,INDIVIDUAL,1400000,VERIFIED,52.0,metro
ENT_00002,INDIVIDUAL,0,VERIFIED,31.0,metro
ENT_00003,INDIVIDUAL,9300000,VERIFIED,62.0,tier2
ENT_00004,INDIVIDUAL,1000000,VERIFIED,28.0,tier2
ENT_00005,INDIVIDUAL,1500000,VERIFIED,39.0,metro
ENT_00006,INDIVIDUAL,800000,VERIFIED,56.0,metro
ENT_00007,INDIVIDUAL,400000,VERIFIED,42.0,metro
ENT_00008,INDIVIDUAL,5600000,VERIFIED,54.0,metro
ENT_00009,INDIVIDUAL,4700000,VERIFIED,23.0,rural
ENT_00010,BUSINESS,75000000,VERIFIED,,rural
ENT_00011,INDIVIDUAL,1300000,VERIFIED,35.0,tier2
ENT_00012,INDIVIDUAL,0,VERIFIED,58.0,metro
ENT_00013,INDIVIDUAL,900000,VERIFIED,35.0,rural
ENT_00014,INDIVIDUAL,9700000,VERIFIED,38.0,rural
ENT_00015,INDIVIDUAL,300000,VERIFIED,38.0,metro
ENT_00016,INDIVIDUAL,68000000,VERIFIED,63.0,metro
ENT_00017,INDIVIDUAL,1300000,VERIFIED,47.0,metro
ENT_00018,INDIVIDUAL,7800000,VERIFIED,34.0,tier2
ENT_00019,INDIVIDUAL,5600000,VERIFIED,32.0,rural
ENT_00020,INDIVIDUAL,1500000,VERIFIED,21.0,rural
ENT_00021,INDIVIDUAL,1300000,VERIFIED,45.0,tier2
ENT_00022,INDIVIDUAL,6900000,VERIFIED,51.0,metro
ENT_00023,INDIVIDUAL,79600000,VERIFIED,64.0,metro
ENT_00024,BUSINESS,21400000,VERIFIED,,metro
ENT_00025,INDIVIDUAL,0,VERIFIED,64.0,rural
ENT_00026,INDIVIDUAL,3200000,VERIFIED,50.0,rural
ENT_00027,BUSINESS,2900000,VERIFIED,,metro
ENT_00028,INDIVIDUAL,64300000,VERIFIED,18.0,tier2
ENT_00029,INDIVIDUAL,800000,VERIFIED,37.0,metro
ENT_00030,INDIVIDUAL,2000000,VERIFIED,23.0,tier2
ENT_00031,BUSINESS,2600000,VERIFIED,,tier2
ENT_00032,BUSINESS,31600000,VERIFIED,,rural
ENT_00033,INDIVIDUAL,4900000,VERIFIED,43.0,rural
ENT_00034,INDIVIDUAL,1100000,VERIFIED,46.0,metro
ENT_00035,INDIVIDUAL,1200000,VERIFIED,53.0,metro
ENT_00036,INDIVIDUAL,0,VERIFIED,58.0,metro
ENT_00037,INDIVIDUAL,0,VERIFIED,39.0,metro
ENT_00038,INDIVIDUAL,3700000,VERIFIED,52.0,metro
ENT_00039,BUSINESS,34800000,VERIFIED,,tier2
ENT_00040,BUSINESS,9400000,VERIFIED,,metro
ENT_00041,INDIVIDUAL,1400000,VERIFIED,21.0,tier2
ENT_00042,TRUST,84500000,VERIFIED,,metro
ENT_00043,BUSINESS,7800000,VERIFIED,,metro
ENT_00044,INDIVIDUAL,600000,VERIFIED,22.0,metro
ENT_00045,BUSINESS,9300000,VERIFIED,,rural
ENT_00046,BUSINESS,3100000,VERIFIED,,metro
ENT_00047,INDIVIDUAL,1700000,VERIFIED,28.0,metro
ENT_00048,TRUST,39200000,VERIFIED,,metro
ENT_00049,TRUST,25800000,VERIFIED,,metro
ENT_00050,INDIVIDUAL,0,VERIFIED,65.0,tier2
ENT_00051,INDIVIDUAL,0,VERIFIED,55.0,metro
ENT_00052,BUSINESS,7500000,VERIFIED,,metro
ENT_00053,INDIVIDUAL,9600000,VERIFIED,33.0,metro
ENT_00054,BUSINESS,8900000,VERIFIED,,metro
ENT_00055,INDIVIDUAL,5000000,VERIFIED,34.0,metro
ENT_00056,INDIVIDUAL,900000,VERIFIED,26.0,tier2
ENT_00057,INDIVIDUAL,1500000,VERIFIED,22.0,metro
ENT_00058,INDIVIDUAL,2200000,VERIFIED,22.0,tier2
ENT_00059,INDIVIDUAL,800000,VERIFIED,22.0,rural
ENT_00060,INDIVIDUAL,1100000,VERIFIED,63.0,metro
ENT_00061,TRUST,9500000,VERIFIED,,rural
ENT_00062,INDIVIDUAL,2700000,VERIFIED,34.0,metro
ENT_00063,INDIVIDUAL,4400000,VERIFIED,36.0,tier2
ENT_00064,INDIVIDUAL,1300000,VERIFIED,34.0,tier2
ENT_00065,INDIVIDUAL,15200000,VERIFIED,23.0,tier2
ENT_00066,BUSINESS,88900000,VERIFIED,,metro
ENT_00067,TRUST,66400000,VERIFIED,,tier2
ENT_00068,INDIVIDUAL,1400000,VERIFIED,27.0,tier2
ENT_00069,BUSINESS,6500000,VERIFIED,,metro
ENT_00070,INDIVIDUAL,1500000,VERIFIED,40.0,metro
ENT_00071,INDIVIDUAL,1500000,VERIFIED,53.0,rural
ENT_00072,INDIVIDUAL,2900000,VERIFIED,33.0,rural
ENT_00073,TRUST,12500000,VERIFIED,,metro
ENT_00074,BUSINESS,92100000,VERIFIED,,tier2
ENT_00075,INDIVIDUAL,500000,VERIFIED,62.0,metro
ENT_00076,BUSINESS,3500000,VERIFIED,,rural
ENT_00077,INDIVIDUAL,1500000,VERIFIED,32.0,metro
ENT_00078,INDIVIDUAL,700000,VERIFIED,22.0,rural
ENT_00079,INDIVIDUAL,6100000,VERIFIED,61.0,rural
ENT_00080,INDIVIDUAL,21800000,VERIFIED,34.0,metro
ENT_00081,TRUST,8600000,VERIFIED,,metro
ENT_00082,INDIVIDUAL,1200000,VERIFIED,50.0,metro
ENT_00083,BUSINESS,10000000,VERIFIED,,metro
ENT_00084,INDIVIDUAL,9700000,VERIFIED,64.0,rural
ENT_00085,INDIVIDUAL,900000,VERIFIED,22.0,rural
ENT_00086,BUSINESS,4800000,VERIFIED,,tier2
ENT_00087,INDIVIDUAL,1400000,VERIFIED,36.0,tier2
ENT_00088,INDIVIDUAL,5800000,VERIFIED,61.0,tier2
ENT_00089,INDIVIDUAL,6100000,VERIFIED,53.0,rural
ENT_00090,INDIVIDUAL,1500000,VERIFIED,55.0,tier2
ENT_00091,INDIVIDUAL,1300000,VERIFIED,31.0,tier2
ENT_00092,INDIVIDUAL,85300000,VERIFIED,28.0,tier2
ENT_00093,INDIVIDUAL,8900000,VERIFIED,39.0,metro
ENT_00094,TRUST,33000000,VERIFIED,,rural
ENT_00095,INDIVIDUAL,0,VERIFIED,48.0,tier2
ENT_00096,INDIVIDUAL,1300000,VERIFIED,54.0,metro
ENT_00097,INDIVIDUAL,600000,VERIFIED,27.0,tier2
ENT_00098,INDIVIDUAL,2300000,VERIFIED,45.0,metro
ENT_00099,BUSINESS,15100000,VERIFIED,,tier2
ENT_00100,BUSINESS,6900000,VERIFIED,,tier2
ENT_00101,TRUST,72700000,VERIFIED,,rural
ENT_00102,BUSINESS,26200000,VERIFIED,,tier2
ENT_00103,INDIVIDUAL,600000,VERIFIED,58.0,metro
ENT_00104,INDIVIDUAL,600000,VERIFIED,35.0,metro
ENT_00105,INDIVIDUAL,800000,VERIFIED,38.0,rural
ENT_00106,INDIVIDUAL,900000,VERIFIED,62.0,metro
ENT_00107,INDIVIDUAL,800000,VERIFIED,52.0,metro
ENT_00108,INDIVIDUAL,5900000,VERIFIED,55.0,rural
ENT_00109,INDIVIDUAL,8300000,VERIFIED,42.0,metro
ENT_00110,BUSINESS,97300000,VERIFIED,,rural
ENT_00111,BUSINESS,7200000,VERIFIED,,metro
ENT_00112,INDIVIDUAL,0,VERIFIED,39.0,tier2
ENT_00113,INDIVIDUAL,6900000,VERIFIED,26.0,rural
ENT_00114,INDIVIDUAL,70600000,VERIFIED,54.0,tier2
ENT_00115,INDIVIDUAL,1000000,VERIFIED,29.0,metro
ENT_00116,INDIVIDUAL,800000,VERIFIED,39.0,tier2
ENT_00117,INDIVIDUAL,6300000,VERIFIED,34.0,rural
ENT_00118,INDIVIDUAL,1600000,VERIFIED,40.0,metro
ENT_00119,INDIVIDUAL,14100000,VERIFIED,19.0,rural
ENT_00120,INDIVIDUAL,0,VERIFIED,27.0,metro
ENT_00121,INDIVIDUAL,600000,VERIFIED,47.0,tier2
ENT_00122,INDIVIDUAL,1200000,VERIFIED,65.0,tier2
ENT_00123,INDIVIDUAL,700000,VERIFIED,24.0,tier2
ENT_00124,BUSINESS,50600000,VERIFIED,,rural
ENT_00125,INDIVIDUAL,9000000,VERIFIED,33.0,metro
ENT_00126,INDIVIDUAL,8600000,VERIFIED,25.0,tier2
ENT_00127,INDIVIDUAL,0,VERIFIED,52.0,metro
ENT_00128,INDIVIDUAL,5300000,VERIFIED,18.0,rural
ENT_00129,BUSINESS,75000000,VERIFIED,,rural
ENT_00130,INDIVIDUAL,500000,VERIFIED,64.0,tier2
ENT_00131,INDIVIDUAL,7800000,VERIFIED,48.0,metro
ENT_00132,BUSINESS,97200000,VERIFIED,,metro
ENT_00133,BUSINESS,34900000,VERIFIED,,tier2
ENT_00134,INDIVIDUAL,5300000,VERIFIED,19.0,metro
ENT_00135,INDIVIDUAL,800000,VERIFIED,34.0,metro
ENT_00136,BUSINESS,66900000,VERIFIED,,metro
ENT_00137,BUSINESS,60000000,VERIFIED,,tier2
ENT_00138,INDIVIDUAL,1400000,VERIFIED,49.0,metro
ENT_00139,INDIVIDUAL,900000,VERIFIED,62.0,metro
ENT_00140,INDIVIDUAL,1100000,VERIFIED,51.0,metro
