txn_count_7d,volume_7d,txn_count_30d,volume_30d,total_count_180d,total_volume_180d,unique_counterparties_30d,avg_monthly_count,avg_monthly_volume,dormancy_days,kyc_tier,declared_annual_income,near_threshold_txns_30d,income_utilization_ratio_30d,outflow_ratio_1h,account_type_CURRENT,account_type_SALARY,account_type_SAVINGS,entity_type_BUSINESS,entity_type_INDIVIDUAL,entity_type_TRUST,status_ACTIVE,risk_category_HIGH,risk_category_LOW,risk_category_MEDIUM
3,51620.95,15,618112.99,46,1694974.96,15,7.67,282495.83,2,2,8000000,0.0,0.07726412375,0.0,False,True,False,False,True,False,True,False,False,True
4,34480.92,15,328721.72000000003,49,1389630.87,15,8.17,231605.14,0,2,3700000,0.0,0.08884370810810811,0.0,True,False,False,True,False,False,True,False,True,False
4,411430.12,13,684136.67,46,2292378.8,13,7.67,382063.13,1,3,95100000,0.0,0.007193866140904312,0.0,False,False,True,False,True,False,True,False,True,False
4,303194.25,10,446168.09,52,1465503.68,10,8.67,244250.61,1,3,64500000,0.0,0.006917334728682171,0.0,True,False,False,True,False,False,True,False,True,False
2,80346.18000000001,10,648356.54,41,2110180.01,10,6.83,351696.67,0,3,19400000,0.0,0.03342044020618557,0.0,False,False,True,False,True,False,True,True,False,False
2,82054.95,7,180825.78,36,1252626.65,7,6.0,208771.11,2,3,44200000,0.0,0.004091080995475113,0.0,True,False,False,True,False,False,True,False,True,False
2,214788.01,14,1550776.48,48,2792695.91,14,8.0,465449.32,1,2,9000000,0.0,0.17230849777777776,0.055093095150479034,False,False,True,False,True,False,True,False,False,True
5,390878.28,9,437121.7,37,1781405.06,9,6.17,296900.84,0,1,1500000,0.0,0.29141446666666665,0.0,False,False,True,False,True,False,True,False,True,False
0,0.0,1,961985.11,1,961985.11,1,0.17,160330.85,16,0,0,0.0,9.6198511,0.0,False,True,False,False,True,False,True,False,True,False
2,103622.22,11,241542.48,47,1089768.94,11,7.83,181628.16,0,1,500000,0.0,0.48308496,0.0,False,False,True,False,True,False,True,False,True,False
2,80179.0,10,129263.11,47,1950231.48,10,7.83,325038.58,3,1,1500000,0.0,0.08617540666666666,0.0,False,False,True,False,True,False,True,False,True,False
2,52521.7,11,438553.33,40,1078716.23,11,6.67,179786.04,5,2,1400000,0.0,0.31325237857142857,0.0,True,False,False,True,False,False,True,False,False,True
1,902833.87,10,2280321.33,38,3278711.71,10,6.33,546451.95,6,2,7900000,0.0,0.2886482696202532,0.0,False,False,True,False,True,False,True,False,False,True
3,1179964.6,13,2450981.5,50,4459539.350000001,13,8.33,743256.56,2,1,400000,0.0,6.12745375,0.0,False,True,False,False,True,False,True,True,False,False
3,72452.29,10,2992014.46,39,4089996.19,10,6.5,681666.03,2,1,1000000,0.0,2.99201446,0.0,False,False,True,False,True,False,True,False,True,False
1,25707.48,6,354742.51,36,791561.87,6,6.0,131926.98,6,2,4800000,0.0,0.07390468958333334,0.0,False,False,True,False,True,False,True,False,False,True
5,1192259.36,11,1346037.23,44,2579324.51,11,7.33,429887.42,0,3,87000000,0.0,0.015471692298850575,0.0,True,False,False,False,False,True,True,False,True,False
1,32909.61,9,418038.76,43,1994100.94,9,7.17,332350.16,5,1,1100000,0.0,0.3800352363636364,0.0,False,True,False,False,True,False,True,False,True,False
2,18108.57,11,358451.77,33,1152591.89,11,5.5,192098.65,4,0,0,0.0,3.5845177,0.0,False,True,False,False,True,False,True,True,False,False
2,133429.94,9,563915.62,37,1739305.27,9,6.17,289884.21,2,1,500000,0.0,1.12783124,0.0,False,False,True,False,True,False,True,True,False,False
