account_id,txn_count_7d,volume_7d,txn_count_30d,volume_30d,total_count_180d,total_volume_180d,unique_counterparties_30d,last_active_ts,avg_monthly_count,avg_monthly_volume,dormancy_days
ACC_00001,1,120401.92,1,481607.7,6,2889646.2,1,2026-06-08T00:30:48.717239,1,481607.7,3
ACC_00002,1,238395.81,2,953583.25,12,5721499.5,1,2026-06-08T01:43:48.717239,2,953583.25,9
ACC_00003,1,232375.72,2,929502.87,12,5577017.22,1,2026-06-08T02:29:48.717239,2,929502.87,8
ACC_00004,1,211523.3,1,846093.21,6,5076559.26,1,2026-06-05T00:30:48.717239,1,846093.21,1
ACC_00005,1,418816.14,2,1675264.56,12,10051587.36,1,2026-06-05T01:23:48.717239,2,1675264.56,4
ACC_00006,1,408239.98,2,1632959.9,12,9797759.4,1,2026-06-05T02:16:48.717239,2,1632959.9,3
ACC_00007,1,177873.57,1,711494.29,6,4268965.74,1,2026-06-02T00:30:48.717239,1,711494.29,1
ACC_00008,1,352189.67,2,1408758.69,12,8452552.14,1,2026-06-02T00:56:48.717239,2,1408758.69,4
ACC_00009,1,343296.0,2,1373183.98,12,8239103.88,1,2026-06-02T01:31:48.717239,2,1373183.98,3
ACC_00010,1,150216.96,1,600867.83,6,3605206.98,1,2026-06-09T00:30:48.717239,1,600867.83,1
ACC_00011,1,297429.58,2,1189718.3,12,7138309.8,1,2026-06-09T00:52:48.717239,2,1189718.3,8
ACC_00012,1,289918.73,2,1159674.91,12,6958049.46,1,2026-06-09T01:42:48.717239,2,1159674.91,5
ACC_00013,1,182784.52,1,731138.06,6,4386828.36,1,2026-06-03T00:30:48.717239,1,731138.06,3
ACC_00014,1,361913.34,2,1447653.36,12,8685920.16,1,2026-06-03T01:48:48.717239,2,1447653.36,8
ACC_00015,1,352774.12,2,1411096.46,12,8466578.76,1,2026-06-03T02:25:48.717239,2,1411096.46,7
ACC_00016,2,92999.45,8,371997.8,48,2231986.8,5,2026-06-24T16:30:48.717239,8,371997.8,2
ACC_00017,2,90996.24,8,363984.94,48,2183909.64,5,2026-06-26T05:30:48.717239,8,363984.94,8
ACC_00018,2,89835.39,8,359341.57,48,2156049.42,5,2026-06-23T08:30:48.717239,8,359341.57,1
ACC_00019,2,92554.98,8,370219.93,48,2221319.58,5,2026-06-26T20:30:48.717239,8,370219.93,8
ACC_00020,2,93619.15,8,374476.6,48,2246859.6,5,2026-06-26T13:30:48.717239,8,374476.6,6
